headlines,y
"[CLS]Rent-A-Center announces new CEO[SEP]CEFL/YYY's 2017-End Rebalancing Is Upon Us[SEP]CEFL/YYY's 2017-End Rebalancing Is Upon Us[SEP]Top 5 Silver Stocks For 2018[SEP]Tractor Supply (TSCO) Up 19% in 3 Months: More Room to Run?[SEP]CEFL/YYY's 2017-End Rebalancing Is Upon Us[SEP]Cheniere Energy Stock Up 28% Quarter Over Quarter - Does Upside Remain?[SEP]CEFL/YYY's 2017-End Rebalancing Is Upon Us[SEP]Monthly Review Of DivGro: December 2017[SEP]New Strong Sell Stocks for January 2nd[SEP]Investors bid up retailers[SEP]Notable earnings after Wednesday's close[SEP]Mesa Laboratories declares $0.16 dividend[SEP]Pensionfund DSM Netherlands Buys Procter & Gamble Co, PepsiCo Inc, Costco Wholesale Corp, ...[SEP]Boeing talks not considering change of control at Embraer[SEP]Premarket Gainers as of 9:05 am[SEP]2017 Portfolio Performance Review - A Tale Of 2 Halves[SEP]Green Dot Portfolio: December 2017 Update[SEP]Investors bid up retailers[SEP]OPEC Faces Huge Challenges For 2018[SEP]Lanny's December Dividend Income Summary[SEP]Bumpy ride seen for crude oil in 2018, say analysts at Moody's, Bernstein[SEP]Today's preferred stock funds performance[SEP]Investor Expectations to Drive Momentum within ACI Worldwide, La-Z-Boy, Tabula Rasa Healthcare, ...[SEP]My K.I.S.S. Dividend Portfolio: 4th Quarter 2017 Update",0
"[CLS]Investors prepare for Mifid II[SEP]Here's Why It's Worth Investing in Pioneer Natural (PXD) Now[SEP]Dividend Sensei Positions For 2018: Something Is Always On Sale[SEP]Ardelyx completes T3MPO-3 safety extension study of Tenapanor for IBS-C[SEP]Wall Street Breakfast: The Dawn Of MiFID II[SEP]Nuveen declares quarterly distribution on Funds[SEP]3 Huge Mergers and Acquisitions That Could Happen in 2018[SEP]U.S. slaps final duties on Canadian lumber[SEP]Shire's Xiidra OK'd in Canada[SEP]2018 'Safer' Dividend Aristocrats Top Gainers Are Leggett, Becton, General Dynamics, And Stanley Per Brokers[SEP]5 Reasons to Invest in Novo Nordisk (NVO) Stock Right Now[SEP]Wall Street Breakfast: The Dawn Of MiFID II[SEP]3 Outperformers from Health Insurance in 2017[SEP]Top 10 Gold Stocks For 2018[SEP]More new coverage - healthcare[SEP]FDA advancing plan to streamline generic drug reviews[SEP]ReneSola (SOL) Provides Update on Solar Projects in China[SEP]3 Outperformers from Health Insurance in 2017[SEP]Vice suspends two top executives[SEP]Gainey McKenna & Egleston Announces A Class Action Lawsuit Has Been Filed Against Capitala ...[SEP]ConocoPhillips: Discussing The Company's Leasehold In The Permian Basin[SEP]The Quants Are Here: A Look At Alternative Strategies For 2018[SEP]Can Merck Regain its Mojo in 2018 After an Unimpressive '17?[SEP]The Chinese Appear To Be Rushed[SEP]Cott updates on Refresco deal",1
"[CLS]Gap: The Rally Should Continue After A Decent Correction[SEP]WCS Vs. WTI: Canadian Heavy Crude Discount Demystified[SEP]Zumiez (ZUMZ) Up on Robust December Comps & Upbeat View[SEP]Healthcare Biotech Sector Breakout: How High Will It Go In 2018?[SEP]Core-Mark to Webcast Presentation from —…–8 ICR Conference[SEP]Autotalks and STMicroelectronics Show World's First Mass-Market-Ready —nd-Generation V—X ...[SEP]Valuations Getting Big? Look At Small Caps In 2018[SEP]Earthstone Energy: A Deep Value, A Strong Buy[SEP]CEFL/YYY: New Entrants And Playbook For Today[SEP]Stocks Showing Rising Market Leadership: Insys Therapeutics Earns 89 RS Rating[SEP]Billionaire Investor Quietly Buying Canadian Natural Resources Ltd.[SEP]Munch On These 2 Snack Food Stocks[SEP]Omeros Inks Agreement With FDA for OMS721 Phase III Trial[SEP]Your Daily Pharma Scoop: Ardelyx Reports Data, Omeros Moves Forward With OMS721, Allergan Announces Job Cuts[SEP]AECOM Finishes PCM Services for Sobrato Pavilion in San Jose[SEP]CME Group (CME) Posts Record Volumes for 2017, Shares Up[SEP]7 Low Price-to-Sales Stocks to Buy for Optimum Returns[SEP]Fulton Bank, N.A. Buys Canadian Imperial Bank of Commerce, AstraZeneca PLC, Occidental ...[SEP]USD Rebounds On FOMC Minutes And ISM Manufacturing[SEP]Healthcare Biotech Sector Breakout: How High Will It Go In 2018?[SEP]Why The Financial System Will Break: You Can't 'Normalize' Markets That Depend On Extreme Monetary Stimulus[SEP]AP: Trump to 'sharply' expand offshore drilling, including Pacific Ocean (updated)[SEP]Wendy's Shows Rising Relative Strength; Still Shy Of Key Threshold[SEP]Martin Whitman Buys Tidewater Inc, Interfor Corp, Warrior Met Coal Inc, Sells Vodafone Group ...[SEP]Earthstone Energy: A Deep Value, A Strong Buy",1
"[CLS]China's King Of Automotive Websites Still Has Room To Grow[SEP]Q4 2017 Credit Commentary - Taxes, Pensions, Ratings[SEP]The Rose Portfolio Update With Double Digit Total Return For The 91 Holdings[SEP]Q4 2017 Credit Commentary - Taxes, Pensions, Ratings[SEP]Keep Your Eyes On The Market - Cramer's Mad Money (1/4/18)[SEP]DOW ETFs: More Upside Ahead?[SEP]Commodities - Recap Of The Week For Jan. 5, 2018[SEP]Gold Benefiting From Copper, Euro Strength[SEP]Keep Your Eyes On The Market - Cramer's Mad Money (1/4/18)[SEP]Retrophin teams up with Censa Pharma to develop PKU candidate[SEP]Heritage Financial Corporation (Nasdaq: HFWA) to Ring The Nasdaq Stock Market Opening Bell in ...[SEP]Enanta Pharma to provide R&D updates programs and 2018 outlook at 36th Annual J.P. Morgan Healthcare Conference[SEP]Q4 2017 Credit Commentary - Taxes, Pensions, Ratings[SEP]Goldman bullish on biopharma in 2018[SEP]The Rose Portfolio Update With Double Digit Total Return For The 91 Holdings[SEP]HCP -2% after loan goes bad[SEP]Innophos: Shift To Acquisition Strategy Bearing Fruit[SEP]REITs Stumble Into 2018[SEP]Did US Tax Reform Prompt CenterPoint Energy to Hike '17 View?[SEP]Did You Have 50% Dividend Growth In 2017? I Did.[SEP]If I Had To Build An Income Portfolio Today - Update 25[SEP]If I Had To Build An Income Portfolio Today - Update 25[SEP]Energy Recap: A New Day For Offshore Drilling[SEP]Q4 2017 Credit Commentary - Taxes, Pensions, Ratings[SEP]Verizon (VZ) Inks Extended Carriage Deal With A+E Networks",1
"[CLS]Zayo Group Holdings Inc (ZAYO) CEO Daniel Caruso Sold $–– million of Shares[SEP]Can Abercrombie's (ANF) Strategic Actions Offset Hurdles?[SEP]The A-Team: End Of December 2017 Monthly Review; A Farewell Goodbye[SEP]Dividend Sensei's Portfolio Update 17: Every Crisis Is An Opportunity[SEP]Transports Weekly Snapshot - It's Deja Vu All Over Again As Transports Are Off To Another Slow Start[SEP]Dollar Tree (DLTR) Touches 52-Week High: Can it Soar Higher?[SEP]Karen Schenone Positions For 2018: Not Enough Investors Are Thinking About Bonds As A Hedge To Equity Market Risk[SEP]Transports Weekly Snapshot - It's Deja Vu All Over Again As Transports Are Off To Another Slow Start[SEP]Itron (ITRI) Acquires Silver Spring to Boost IoT Platform[SEP]Of Fallen Angels And Ridiculous Rallies[SEP]Microsoft (MSFT) Hits 52-Week High: What's Behind the Rally?[SEP]Luminex announces preliminary Q4 and FY17 revenue[SEP]Macron: New 'Silk Road' cannot be one-way[SEP]Omega Healthcare Investors: Demographics Excellent For The Long Term, But There Are Short-Term Struggles[SEP]The Children's Place raises Q4 and FY comparable retail sales and adjusted EPS guidance[SEP]Crypto sector lit up bright red[SEP]Final Chance To Load Up On Silver[SEP]Permian Shale Oil Pure Play Stocks - Weekly Report 01/05/18[SEP]Sohu Valuation Enhanced By Successful Sogou IPO And Potential Changyou Privatization[SEP]Utility Industry Stock Outlook - January 2018[SEP]Credit card debt on watch[SEP]Rowan (RDC) Purchases LeTourneau Super 116E Rigs for $77M[SEP]Stanford Chemist Positions For 2018: Broaden Your Horizons[SEP]Itron completes Silver Spring purchase[SEP]We Are In The Retail 3.0 Era",0
"[CLS]Orthofix announces preliminary sales for Q4 and FY2017[SEP]First Horizon National outlines impacts of U.S. tax reform[SEP]Teladoc Provides Strong Preliminary Results & 2018 Outlook[SEP]5 Companies Hit 5—-Week Highs[SEP]Williams Partners' Transco Pipeline Sets Gas Delivery Record[SEP]Homebuilders: Go Big Or Go Home[SEP]Investor AB: An Intriguing Way To Play The Swedish Economy And Healthcare[SEP]Dow Jones Leads, Eyes More Gains; Bitcoin ETF Quiet; These 2 Groups Are Hot[SEP]Elm Advisors, Llc Buys Vanguard Total Bond Market, iShares Nasdaq Biotechnology Index Fund, ...[SEP]Exxonmobil Investment Management Inc Buys iShares Core S&P 5……, Xcel Energy Inc, Aptiv PLC[SEP]Stocks Higher As Boeing Helps Dow Lead The Market[SEP]FERC kills Rick Perry's grid proposal[SEP]Valuation Dashboard In Utilities - New Year's Update[SEP]This 12.7% Yielding Mortgage REIT Might Be A Buy[SEP]FERC kills Rick Perry's grid proposal[SEP]10 Nordic Companies Worth Knowing About[SEP]Mall sector jittery as ICR rolls on[SEP]Your Daily Pharma Scoop: Ablynx Takeover Bid, Celgene Acquires Impact Biomedicines, Axovant Flops Again[SEP]Wall Street's 50 Favorite Dividend Stocks For January, 2019[SEP]This Dividend Achiever MLP Offers A 7.7% Dividend Yield And Growth[SEP]FERC kills Rick Perry's grid proposal[SEP]Valuation Dashboard In Utilities - New Year's Update[SEP]China's Currency In 2018: What A Difference A Year Makes[SEP]A Zeitgeist Of Melancholy: A Tale Of Missed Opportunity In Bulgaria[SEP]Manpower Group's Bubble May Burst At Any Time",1
"[CLS]Daily Insider Ratings Round Up 1/8/18: VSI, CNBKA, MSF[SEP]Don't Believe In The Boogeyman: The 'Noneconomic' Bond Buyer Doesn't Exist[SEP]Century Aluminum Hurt by High Raw Material Cost, Pricing Woes[SEP]Lexicon Pharmaceuticals (LXRX) Presents At 36th Annual J.P. Morgan Healthcare Conference - Slideshow[SEP]Demographic Delusions - A Different Look At Skilled Nursing And Healthcare REITs[SEP]Yandex reorganizes media businesses into new unit[SEP]ACADIA Pharma (ACAD) Presents At 36th Annual J.P. Morgan Healthcare Conference - Slideshow[SEP]Scoop Up These 4 Chemical Stocks for Stellar Returns[SEP]Daily Insider Ratings Round Up 1/8/18: VSI, CNBKA, MSF[SEP]Big day for financials as rates break out[SEP]Gundlach: Sell stocks (and Bitcoin), buy commodities[SEP]Agilent (A) Expands Portfolio With Luxcel Biosciences Buyout[SEP]4 Factors That Make Church & Dwight (CHD) a Lucrative Bet Now[SEP]5 Best Stocks to Buy Ahead of Q4 Earnings Season[SEP]NETSOL Technologies' Point of Sale System Goes Live for FCA Automotive Finance Co., Ltd[SEP]The Fourth Bond Tantrum[SEP]Factors That are Likely to Fuel Kimberly-Clark (KMB) in 2018[SEP]Global Bond Markets To Enter New Phase In 2018[SEP]Synergy Pharma: Dilutive Financing Appears Likely Before Inflection Point[SEP]Gundlach: Sell stocks (and Bitcoin), buy commodities[SEP]When The Bulls Growl And The Bears Moo - Stock Market Outlook 2018[SEP]Investment Lessons From The Mona Lisa[SEP]Tutor Perini: Cash Flow Problems Continue[SEP]Your Daily Pharma Scoop: Aradigm Sees Sell-Off Ahead Of Ad Com, Editas Provides Update, Axsome Suffers Setback[SEP]WD-40: Outstanding Performance Drives Bullish Outlook",0
"[CLS]Global Precious MMI: Sub-Index Continues Rise As Palladium Outpaces Platinum Again[SEP]Breakout Portfolio Up 14.38% Into 2018: Method Or Madness?[SEP]Today's U.S. infrastructure fund performance (1/11/18)[SEP]New Deutsche junk-bond ETFs lets investors choose area to bet on[SEP]Lederer & Associates Investment Counsel Buys Naspers, The Madison Square Garden Co, Celgene ...[SEP]Globus Medical Revving Up Into 2018[SEP]Alaska Air lands single FAA operating certificate[SEP]Sangamo Therapeutics (SGMO) Presents At 36th Annual J.P. Morgan Healthcare Conference - Slideshow[SEP]Going Into The First WASDE Of 2018[SEP]The Gold Market In 2017[SEP]No, No, This 2% Is Different From All Those Others[SEP]Dave Morgan: Gold Markets Shifting Into Higher Gear In 2018[SEP]Cool, Clear Water: A Thematic Macro Play For The Next 50 Years[SEP]This Mission Critical REIT Is 'Poised To Profit'[SEP]Top-Ranked ETFs Crushing the S&P 500 to Start 2018[SEP]Emerson's (EMR) Outlook Robust on Recent Acquisition Spree[SEP]Our 2018 High Yield REIT Portfolio[SEP]Today's energy infrastructure funds performance (1/11/18)[SEP]The Difference Between 2015 And 2017 In ARMOUR[SEP]Wall Street Breakfast: CEOs Warn Of DACA Hit To Economy[SEP]National Investment Services Inc Buys iShares Russell –……… Value, Xcel Energy Inc, ...[SEP]AGNC Investment's Q4 2017 Income Statement And Earnings Preview - Part 2 (Hedges To The Rescue)[SEP]Hospital operators on the move[SEP]High Yield Dividend Champion Portfolio - January Update[SEP]Guggenheim positive on Dollar Tree",1
"[CLS]Buy Pershing Square At A 25% Discount To Net Asset Value[SEP]Infinity Pharmaceuticals (INFI) Presents At 36th Annual J.P. Morgan Healthcare Conference - Slideshow[SEP]China reports latest trade figures[SEP]Restaurant sales end 2017 with a little bounce[SEP]Steven Romick Exits Legg Mason, Trims Qualcomm, American Express Positions[SEP]Is Hawaiian Holdings a Great Stock for Value Investors?[SEP]5 HMO Stocks to Continue Rewarding Investors[SEP]SeaWorld Entertainment, Inc. (SEAS) Jumps: Stock Rises 5.2%[SEP]Daily Insider Ratings Round Up 1/10/18: SHLD, RE, SWZ, DEX, NXRT[SEP]Bonds: A Cash Look-Alike With A Potential Venomous Bite[SEP]Genworth: Additional Thoughts On Plan-B And Valuation[SEP]Separating Winners From Losers In A Volatile Healthcare Environment[SEP]Huge Holiday For Brick & Mortar Retailers[SEP]Buy Pershing Square At A 25% Discount To Net Asset Value[SEP]Leicht Financial Planning & Wealth Management, Inc. ...[SEP]Retail sales stay in uptrend[SEP]IBM Names Veteran James Kavanaugh as the New CFO in 2018[SEP]JPMorgan (JPM) Q4 Earnings Beat Thanks to Investment Banking[SEP]First Command Bank Buys iShares Core S&P 5……, DowDuPont Inc, Andeavor, Sells DXC ...[SEP]Mylan Hits 80-Plus Relative Strength Rating Benchmark[SEP]Your Daily Pharma Scoop: AbbVie Highlights Pipeline, Novavax Surges, Lipocine Flops At Ad Com[SEP]A Powerful Screen For Dividend Growth Investors[SEP]Another rough session for REITs[SEP]Midday Gainers / Losers (1/12/2018)[SEP]Your Daily Pharma Scoop: AbbVie Highlights Pipeline, Novavax Surges, Lipocine Flops At Ad Com",1
"[CLS]4 Dividend Increases: January 1-12, 2018[SEP]4 Best Technology Stocks for Growth Investors Right Now[SEP]Permian Shale Oil Pure Play Stocks - Weekly Report 01/12/18[SEP]It's Time For The Next Generation Dividend Growth Model Portfolio[SEP]Wall Street Breakfast: More Records In Store For Equities[SEP]Are Millennials Investing for Retirement?[SEP]Amazon Touches New High On Upgrade & Grocery Sales[SEP]Sysco (SYY) Set to Bring Kent Frozen Foods Under Its Wings[SEP]Mondelez Raised to Buy on Innovation, Cost-Saving Initiatives[SEP]Biotech Daily Digest For January 16th[SEP]Will Stable Interest Income Support BB&T (BBT) Q4 Earnings?[SEP]Zacks.com highlights: Robert Half International, PetMed Express, Five Below, Patrick Industries and American Eagle Outfitters[SEP]Worried About A Pullback? Try NOBL[SEP]Permian Shale Oil Pure Play Stocks - Weekly Report 01/12/18[SEP]Dividend Challengers (And Near-Challengers): 153 Increases Expected By The End Of March[SEP]Dividend Challengers (And Near-Challengers): 153 Increases Expected By The End Of March[SEP]Weekly CEF Roundup: Alpine Sells CEF Management Contract To Aberdeen[SEP]Why a Q4 Earnings Beat Is Likely for M&T Bank (MTB)[SEP]Yacktman Focused Fund Buys Bollore SA, Sells Samsung Electronics Co, Microsoft Corp, Sysco Corp[SEP]Flotek Industries provides Q4 update[SEP]Banks accused of rigging Canadian rate benchmark[SEP]Why Should Tyson Foods (TSN) be Part of Your Portfolio Now[SEP]Norway awards record 75 oil exploration licenses, led by Statoil's 31[SEP]Salem Capital Management Inc Buys AT&T Inc, Cooper Tire & Rubber Co, Becton, Dickinson ...[SEP]Yacktman Fund Buys Bollore SA, Sells Microsoft Corp, Sysco Corp, Wal-Mart Stores Inc",0
