date,prices,headlines,y
2007-01-03,"[15739.43, 15755.36, 15884.57, 15875.26, 16167.97, 16179.08, 16221.14, 16294.61, 16357.55, 16479.88, 16478.41, 16504.29, 16576.66, 16441.35, 16469.99, 16425.1, 16530.94, 16462.74, 16444.76, 16437.05, 16257.94, 16373.86, 16481.94, 16417.01, 16458.56, 16414.44, 16373.34, 16197.35, 15879.11, 15837.88]","[ 0.08136239  0.17474301 -0.03916562 ... -0.01844029 -0.10677316
 -0.01266319]",0
2007-01-04,"[15755.36, 15884.57, 15875.26, 16167.97, 16179.08, 16221.14, 16294.61, 16357.55, 16479.88, 16478.41, 16504.29, 16576.66, 16441.35, 16469.99, 16425.1, 16530.94, 16462.74, 16444.76, 16437.05, 16257.94, 16373.86, 16481.94, 16417.01, 16458.56, 16414.44, 16373.34, 16197.35, 15879.11, 15837.88, 15928.56]","[ 0.06050199  0.05472449 -0.04594269 ... -0.0457366  -0.08613858
  0.03365523]",1
2007-01-05,"[15884.57, 15875.26, 16167.97, 16179.08, 16221.14, 16294.61, 16357.55, 16479.88, 16478.41, 16504.29, 16576.66, 16441.35, 16469.99, 16425.1, 16530.94, 16462.74, 16444.76, 16437.05, 16257.94, 16373.86, 16481.94, 16417.01, 16458.56, 16414.44, 16373.34, 16197.35, 15879.11, 15837.88, 15928.56, 15738.79]","[-0.01057415  0.00528063  0.00232116 ... -0.09512971 -0.07292914
 -0.0204687 ]",0
2007-01-08,"[15875.26, 16167.97, 16179.08, 16221.14, 16294.61, 16357.55, 16479.88, 16478.41, 16504.29, 16576.66, 16441.35, 16469.99, 16425.1, 16530.94, 16462.74, 16444.76, 16437.05, 16257.94, 16373.86, 16481.94, 16417.01, 16458.56, 16414.44, 16373.34, 16197.35, 15879.11, 15837.88, 15928.56, 15738.79, 15848.61]","[ 0.03230318 -0.04611415 -0.02040609 ... -0.0022564  -0.15363116
  0.01695976]",1
2007-01-09,"[16167.97, 16179.08, 16221.14, 16294.61, 16357.55, 16479.88, 16478.41, 16504.29, 16576.66, 16441.35, 16469.99, 16425.1, 16530.94, 16462.74, 16444.76, 16437.05, 16257.94, 16373.86, 16481.94, 16417.01, 16458.56, 16414.44, 16373.34, 16197.35, 15879.11, 15837.88, 15928.56, 15738.79, 15848.61, 15698.85]","[ 0.08136239  0.17474301 -0.03916562 ... -0.01551934 -0.03309775
  0.07107627]",0
2007-01-10,"[16179.08, 16221.14, 16294.61, 16357.55, 16479.88, 16478.41, 16504.29, 16576.66, 16441.35, 16469.99, 16425.1, 16530.94, 16462.74, 16444.76, 16437.05, 16257.94, 16373.86, 16481.94, 16417.01, 16458.56, 16414.44, 16373.34, 16197.35, 15879.11, 15837.88, 15928.56, 15738.79, 15848.61, 15698.85, 15372.8]","[ 0.07254367 -0.02947732 -0.0179034  ... -0.09512971 -0.07292914
 -0.0204687 ]",1
2007-01-11,"[16221.14, 16294.61, 16357.55, 16479.88, 16478.41, 16504.29, 16576.66, 16441.35, 16469.99, 16425.1, 16530.94, 16462.74, 16444.76, 16437.05, 16257.94, 16373.86, 16481.94, 16417.01, 16458.56, 16414.44, 16373.34, 16197.35, 15879.11, 15837.88, 15928.56, 15738.79, 15848.61, 15698.85, 15372.8, 15445.24]","[ 0.05597735  0.0043414   0.05835421 ... -0.086555   -0.12136516
  0.04657035]",1
2007-01-12,"[16294.61, 16357.55, 16479.88, 16478.41, 16504.29, 16576.66, 16441.35, 16469.99, 16425.1, 16530.94, 16462.74, 16444.76, 16437.05, 16257.94, 16373.86, 16481.94, 16417.01, 16458.56, 16414.44, 16373.34, 16197.35, 15879.11, 15837.88, 15928.56, 15738.79, 15848.61, 15698.85, 15372.8, 15445.24, 15440.23]","[-0.01057415  0.00528063  0.00232116 ... -0.09512971 -0.07292914
 -0.0204687 ]",1
2007-01-16,"[16357.55, 16479.88, 16478.41, 16504.29, 16576.66, 16441.35, 16469.99, 16425.1, 16530.94, 16462.74, 16444.76, 16437.05, 16257.94, 16373.86, 16481.94, 16417.01, 16458.56, 16414.44, 16373.34, 16197.35, 15879.11, 15837.88, 15928.56, 15738.79, 15848.61, 15698.85, 15372.8, 15445.24, 15440.23, 15628.53]","[ 0.08134506  0.17481211 -0.03910411 ... -0.09534204 -0.07333264
 -0.03421549]",1
2007-01-17,"[16479.88, 16478.41, 16504.29, 16576.66, 16441.35, 16469.99, 16425.1, 16530.94, 16462.74, 16444.76, 16437.05, 16257.94, 16373.86, 16481.94, 16417.01, 16458.56, 16414.44, 16373.34, 16197.35, 15879.11, 15837.88, 15928.56, 15738.79, 15848.61, 15698.85, 15372.8, 15445.24, 15440.23, 15628.53, 15794.08]","[ 0.07250929 -0.02951019 -0.01790768 ...  0.00276135  0.00968422
  0.14621335]",0
