date,prices,headlines,y
2018-01-02,"[25771.47842105 25771.47842105 25771.47842105 25771.47842105
 25771.47842105 25771.47842105 25771.47842105 25771.47842105
 25771.47842105 25771.47842105 25771.47842105 24824.01
 24922.68       25075.13       25295.87       25283.
 25385.8        25369.13       25574.73       25803.19
 25792.86       26115.65       26017.81       26071.72
 26214.6        26210.81       26252.12       26392.79
 26616.71       26439.48      ]","['Rent-A-Center announces new CEO', ""CEFL/YYY's 2017-End Rebalancing Is Upon Us"", ""CEFL/YYY's 2017-End Rebalancing Is Upon Us"", 'Top 5 Silver Stocks For 2018', 'Tractor Supply (TSCO) Up 19% in 3 Months: More Room to Run?', ""CEFL/YYY's 2017-End Rebalancing Is Upon Us"", 'Cheniere Energy Stock Up 28% Quarter Over Quarter - Does Upside Remain?', ""CEFL/YYY's 2017-End Rebalancing Is Upon Us"", 'Monthly Review Of DivGro: December 2017', 'New Strong Sell Stocks for January 2nd', 'Investors bid up retailers', ""Notable earnings after Wednesday's close"", 'Mesa Laboratories declares $0.16 dividend', 'Pensionfund DSM Netherlands Buys Procter & Gamble Co, PepsiCo Inc, Costco Wholesale Corp, ...', 'Boeing talks not considering change of control at Embraer', 'Premarket Gainers as of 9:05 am', '2017 Portfolio Performance Review - A Tale Of 2 Halves', 'Green Dot Portfolio: December 2017 Update', 'Investors bid up retailers', 'OPEC Faces Huge Challenges For 2018', ""Lanny's December Dividend Income Summary"", ""Bumpy ride seen for crude oil in 2018, say analysts at Moody's, Bernstein"", ""Today's preferred stock funds performance"", 'Investor Expectations to Drive Momentum within ACI Worldwide, La-Z-Boy, Tabula Rasa Healthcare, ...', 'My K.I.S.S. Dividend Portfolio: 4th Quarter 2017 Update']",0
2018-01-03,"[25786.749 25786.749 25786.749 25786.749 25786.749 25786.749 25786.749
 25786.749 25786.749 25786.749 24824.01  24922.68  25075.13  25295.87
 25283.    25385.8   25369.13  25574.73  25803.19  25792.86  26115.65
 26017.81  26071.72  26214.6   26210.81  26252.12  26392.79  26616.71
 26439.48  26076.89 ]","['Investors prepare for Mifid II', ""Here's Why It's Worth Investing in Pioneer Natural (PXD) Now"", 'Dividend Sensei Positions For 2018: Something Is Always On Sale', 'Ardelyx completes T3MPO-3 safety extension study of Tenapanor for IBS-C', 'Wall Street Breakfast: The Dawn Of MiFID II', 'Nuveen declares quarterly distribution on Funds', '3 Huge Mergers and Acquisitions That Could Happen in 2018', 'U.S. slaps final duties on Canadian lumber', ""Shire's Xiidra OK'd in Canada"", ""2018 'Safer' Dividend Aristocrats Top Gainers Are Leggett, Becton, General Dynamics, And Stanley Per Brokers"", '5 Reasons to Invest in Novo Nordisk (NVO) Stock Right Now', 'Wall Street Breakfast: The Dawn Of MiFID II', '3 Outperformers from Health Insurance in 2017', 'Top 10 Gold Stocks For 2018', 'More new coverage - healthcare', 'FDA advancing plan to streamline generic drug reviews', 'ReneSola (SOL) Provides Update on Solar Projects in China', '3 Outperformers from Health Insurance in 2017', 'Vice suspends two top executives', 'Gainey McKenna & Egleston Announces A Class Action Lawsuit Has Been Filed Against Capitala ...', ""ConocoPhillips: Discussing The Company's Leasehold In The Permian Basin"", 'The Quants Are Here: A Look At Alternative Strategies For 2018', ""Can Merck Regain its Mojo in 2018 After an Unimpressive '17?"", 'The Chinese Appear To Be Rushed', 'Cott updates on Refresco deal']",1
2018-01-04,"[25804.01761905 25804.01761905 25804.01761905 25804.01761905
 25804.01761905 25804.01761905 25804.01761905 25804.01761905
 25804.01761905 24824.01       24922.68       25075.13
 25295.87       25283.         25385.8        25369.13
 25574.73       25803.19       25792.86       26115.65
 26017.81       26071.72       26214.6        26210.81
 26252.12       26392.79       26616.71       26439.48
 26076.89       26149.39      ]","['Gap: The Rally Should Continue After A Decent Correction', 'WCS Vs. WTI: Canadian Heavy Crude Discount Demystified', 'Zumiez (ZUMZ) Up on Robust December Comps & Upbeat View', 'Healthcare Biotech Sector Breakout: How High Will It Go In 2018?', 'Core-Mark to Webcast Presentation from —…–8 ICR Conference', ""Autotalks and STMicroelectronics Show World's First Mass-Market-Ready —nd-Generation V—X ..."", 'Valuations Getting Big? Look At Small Caps In 2018', 'Earthstone Energy: A Deep Value, A Strong Buy', 'CEFL/YYY: New Entrants And Playbook For Today', 'Stocks Showing Rising Market Leadership: Insys Therapeutics Earns 89 RS Rating', 'Billionaire Investor Quietly Buying Canadian Natural Resources Ltd.', 'Munch On These 2 Snack Food Stocks', 'Omeros Inks Agreement With FDA for OMS721 Phase III Trial', 'Your Daily Pharma Scoop: Ardelyx Reports Data, Omeros Moves Forward With OMS721, Allergan Announces Job Cuts', 'AECOM Finishes PCM Services for Sobrato Pavilion in San Jose', 'CME Group (CME) Posts Record Volumes for 2017, Shares Up', '7 Low Price-to-Sales Stocks to Buy for Optimum Returns', 'Fulton Bank, N.A. Buys Canadian Imperial Bank of Commerce, AstraZeneca PLC, Occidental ...', 'USD Rebounds On FOMC Minutes And ISM Manufacturing', 'Healthcare Biotech Sector Breakout: How High Will It Go In 2018?', ""Why The Financial System Will Break: You Can't 'Normalize' Markets That Depend On Extreme Monetary Stimulus"", ""AP: Trump to 'sharply' expand offshore drilling, including Pacific Ocean (updated)"", ""Wendy's Shows Rising Relative Strength; Still Shy Of Key Threshold"", 'Martin Whitman Buys Tidewater Inc, Interfor Corp, Warrior Met Coal Inc, Sells Vodafone Group ...', 'Earthstone Energy: A Deep Value, A Strong Buy']",1
2018-01-05,"[25821.41272727 25821.41272727 25821.41272727 25821.41272727
 25821.41272727 25821.41272727 25821.41272727 25821.41272727
 24824.01       24922.68       25075.13       25295.87
 25283.         25385.8        25369.13       25574.73
 25803.19       25792.86       26115.65       26017.81
 26071.72       26214.6        26210.81       26252.12
 26392.79       26616.71       26439.48       26076.89
 26149.39       26186.71      ]","[""China's King Of Automotive Websites Still Has Room To Grow"", 'Q4 2017 Credit Commentary - Taxes, Pensions, Ratings', 'The Rose Portfolio Update With Double Digit Total Return For The 91 Holdings', 'Q4 2017 Credit Commentary - Taxes, Pensions, Ratings', ""Keep Your Eyes On The Market - Cramer's Mad Money (1/4/18)"", 'DOW ETFs: More Upside Ahead?', 'Commodities - Recap Of The Week For Jan. 5, 2018', 'Gold Benefiting From Copper, Euro Strength', ""Keep Your Eyes On The Market - Cramer's Mad Money (1/4/18)"", 'Retrophin teams up with Censa Pharma to develop PKU candidate', 'Heritage Financial Corporation (Nasdaq: HFWA) to Ring The Nasdaq Stock Market Opening Bell in ...', 'Enanta Pharma to provide R&D updates programs and 2018 outlook at 36th Annual J.P. Morgan Healthcare Conference', 'Q4 2017 Credit Commentary - Taxes, Pensions, Ratings', 'Goldman bullish on biopharma in 2018', 'The Rose Portfolio Update With Double Digit Total Return For The 91 Holdings', 'HCP -2% after loan goes bad', 'Innophos: Shift To Acquisition Strategy Bearing Fruit', 'REITs Stumble Into 2018', ""Did US Tax Reform Prompt CenterPoint Energy to Hike '17 View?"", 'Did You Have 50% Dividend Growth In 2017? I Did.', 'If I Had To Build An Income Portfolio Today - Update 25', 'If I Had To Build An Income Portfolio Today - Update 25', 'Energy Recap: A New Day For Offshore Drilling', 'Q4 2017 Credit Commentary - Taxes, Pensions, Ratings', 'Verizon (VZ) Inks Extended Carriage Deal With A+E Networks']",1
2018-01-08,"[25808.34956522 25808.34956522 25808.34956522 25808.34956522
 25808.34956522 25808.34956522 25808.34956522 24824.01
 24922.68       25075.13       25295.87       25283.
 25385.8        25369.13       25574.73       25803.19
 25792.86       26115.65       26017.81       26071.72
 26214.6        26210.81       26252.12       26392.79
 26616.71       26439.48       26076.89       26149.39
 26186.71       25520.96      ]","['Zayo Group Holdings Inc (ZAYO) CEO Daniel Caruso Sold $–– million of Shares', ""Can Abercrombie's (ANF) Strategic Actions Offset Hurdles?"", 'The A-Team: End Of December 2017 Monthly Review; A Farewell Goodbye', ""Dividend Sensei's Portfolio Update 17: Every Crisis Is An Opportunity"", ""Transports Weekly Snapshot - It's Deja Vu All Over Again As Transports Are Off To Another Slow Start"", 'Dollar Tree (DLTR) Touches 52-Week High: Can it Soar Higher?', 'Karen Schenone Positions For 2018: Not Enough Investors Are Thinking About Bonds As A Hedge To Equity Market Risk', ""Transports Weekly Snapshot - It's Deja Vu All Over Again As Transports Are Off To Another Slow Start"", 'Itron (ITRI) Acquires Silver Spring to Boost IoT Platform', 'Of Fallen Angels And Ridiculous Rallies', ""Microsoft (MSFT) Hits 52-Week High: What's Behind the Rally?"", 'Luminex announces preliminary Q4 and FY17 revenue', ""Macron: New 'Silk Road' cannot be one-way"", 'Omega Healthcare Investors: Demographics Excellent For The Long Term, But There Are Short-Term Struggles', ""The Children's Place raises Q4 and FY comparable retail sales and adjusted EPS guidance"", 'Crypto sector lit up bright red', 'Final Chance To Load Up On Silver', 'Permian Shale Oil Pure Play Stocks - Weekly Report 01/05/18', 'Sohu Valuation Enhanced By Successful Sogou IPO And Potential Changyou Privatization', 'Utility Industry Stock Outlook - January 2018', 'Credit card debt on watch', 'Rowan (RDC) Purchases LeTourneau Super 116E Rigs for $77M', 'Stanford Chemist Positions For 2018: Broaden Your Horizons', 'Itron completes Silver Spring purchase', 'We Are In The Retail 3.0 Era']",0
2018-01-09,"[25747.40791667 25747.40791667 25747.40791667 25747.40791667
 25747.40791667 25747.40791667 24824.01       24922.68
 25075.13       25295.87       25283.         25385.8
 25369.13       25574.73       25803.19       25792.86
 26115.65       26017.81       26071.72       26214.6
 26210.81       26252.12       26392.79       26616.71
 26439.48       26076.89       26149.39       26186.71
 25520.96       24345.75      ]","['Orthofix announces preliminary sales for Q4 and FY2017', 'First Horizon National outlines impacts of U.S. tax reform', 'Teladoc Provides Strong Preliminary Results & 2018 Outlook', '5 Companies Hit 5—-Week Highs', ""Williams Partners' Transco Pipeline Sets Gas Delivery Record"", 'Homebuilders: Go Big Or Go Home', 'Investor AB: An Intriguing Way To Play The Swedish Economy And Healthcare', 'Dow Jones Leads, Eyes More Gains; Bitcoin ETF Quiet; These 2 Groups Are Hot', 'Elm Advisors, Llc Buys Vanguard Total Bond Market, iShares Nasdaq Biotechnology Index Fund, ...', 'Exxonmobil Investment Management Inc Buys iShares Core S&P 5……, Xcel Energy Inc, Aptiv PLC', 'Stocks Higher As Boeing Helps Dow Lead The Market', ""FERC kills Rick Perry's grid proposal"", ""Valuation Dashboard In Utilities - New Year's Update"", 'This 12.7% Yielding Mortgage REIT Might Be A Buy', ""FERC kills Rick Perry's grid proposal"", '10 Nordic Companies Worth Knowing About', 'Mall sector jittery as ICR rolls on', 'Your Daily Pharma Scoop: Ablynx Takeover Bid, Celgene Acquires Impact Biomedicines, Axovant Flops Again', ""Wall Street's 50 Favorite Dividend Stocks For January, 2019"", 'This Dividend Achiever MLP Offers A 7.7% Dividend Yield And Growth', ""FERC kills Rick Perry's grid proposal"", ""Valuation Dashboard In Utilities - New Year's Update"", ""China's Currency In 2018: What A Difference A Year Makes"", 'A Zeitgeist Of Melancholy: A Tale Of Missed Opportunity In Bulgaria', ""Manpower Group's Bubble May Burst At Any Time""]",1
2018-01-10,"[25714.0224 25714.0224 25714.0224 25714.0224 25714.0224 24824.01
 24922.68   25075.13   25295.87   25283.     25385.8    25369.13
 25574.73   25803.19   25792.86   26115.65   26017.81   26071.72
 26214.6    26210.81   26252.12   26392.79   26616.71   26439.48
 26076.89   26149.39   26186.71   25520.96   24345.75   24912.77  ]","['Daily Insider Ratings Round Up 1/8/18: VSI, CNBKA, MSF', ""Don't Believe In The Boogeyman: The 'Noneconomic' Bond Buyer Doesn't Exist"", 'Century Aluminum Hurt by High Raw Material Cost, Pricing Woes', 'Lexicon Pharmaceuticals (LXRX) Presents At 36th Annual J.P. Morgan Healthcare Conference - Slideshow', 'Demographic Delusions - A Different Look At Skilled Nursing And Healthcare REITs', 'Yandex reorganizes media businesses into new unit', 'ACADIA Pharma (ACAD) Presents At 36th Annual J.P. Morgan Healthcare Conference - Slideshow', 'Scoop Up These 4 Chemical Stocks for Stellar Returns', 'Daily Insider Ratings Round Up 1/8/18: VSI, CNBKA, MSF', 'Big day for financials as rates break out', 'Gundlach: Sell stocks (and Bitcoin), buy commodities', 'Agilent (A) Expands Portfolio With Luxcel Biosciences Buyout', '4 Factors That Make Church & Dwight (CHD) a Lucrative Bet Now', '5 Best Stocks to Buy Ahead of Q4 Earnings Season', ""NETSOL Technologies' Point of Sale System Goes Live for FCA Automotive Finance Co., Ltd"", 'The Fourth Bond Tantrum', 'Factors That are Likely to Fuel Kimberly-Clark (KMB) in 2018', 'Global Bond Markets To Enter New Phase In 2018', 'Synergy Pharma: Dilutive Financing Appears Likely Before Inflection Point', 'Gundlach: Sell stocks (and Bitcoin), buy commodities', 'When The Bulls Growl And The Bears Moo - Stock Market Outlook 2018', 'Investment Lessons From The Mona Lisa', 'Tutor Perini: Cash Flow Problems Continue', 'Your Daily Pharma Scoop: Aradigm Sees Sell-Off Ahead Of Ad Com, Editas Provides Update, Axsome Suffers Setback', 'WD-40: Outstanding Performance Drives Bullish Outlook']",0
2018-01-11,"[25682.45807692 25682.45807692 25682.45807692 25682.45807692
 24824.01       24922.68       25075.13       25295.87
 25283.         25385.8        25369.13       25574.73
 25803.19       25792.86       26115.65       26017.81
 26071.72       26214.6        26210.81       26252.12
 26392.79       26616.71       26439.48       26076.89
 26149.39       26186.71       25520.96       24345.75
 24912.77       24893.35      ]","['Global Precious MMI: Sub-Index Continues Rise As Palladium Outpaces Platinum Again', 'Breakout Portfolio Up 14.38% Into 2018: Method Or Madness?', ""Today's U.S. infrastructure fund performance (1/11/18)"", 'New Deutsche junk-bond ETFs lets investors choose area to bet on', 'Lederer & Associates Investment Counsel Buys Naspers, The Madison Square Garden Co, Celgene ...', 'Globus Medical Revving Up Into 2018', 'Alaska Air lands single FAA operating certificate', 'Sangamo Therapeutics (SGMO) Presents At 36th Annual J.P. Morgan Healthcare Conference - Slideshow', 'Going Into The First WASDE Of 2018', 'The Gold Market In 2017', 'No, No, This 2% Is Different From All Those Others', 'Dave Morgan: Gold Markets Shifting Into Higher Gear In 2018', 'Cool, Clear Water: A Thematic Macro Play For The Next 50 Years', ""This Mission Critical REIT Is 'Poised To Profit'"", 'Top-Ranked ETFs Crushing the S&P 500 to Start 2018', ""Emerson's (EMR) Outlook Robust on Recent Acquisition Spree"", 'Our 2018 High Yield REIT Portfolio', ""Today's energy infrastructure funds performance (1/11/18)"", 'The Difference Between 2015 And 2017 In ARMOUR', 'Wall Street Breakfast: CEOs Warn Of DACA Hit To Economy', 'National Investment Services Inc Buys iShares Russell –……… Value, Xcel Energy Inc, ...', ""AGNC Investment's Q4 2017 Income Statement And Earnings Preview - Part 2 (Hedges To The Rescue)"", 'Hospital operators on the move', 'High Yield Dividend Champion Portfolio - January Update', 'Guggenheim positive on Dollar Tree']",1
2018-01-12,"[25614.97666667 25614.97666667 25614.97666667 24824.01
 24922.68       25075.13       25295.87       25283.
 25385.8        25369.13       25574.73       25803.19
 25792.86       26115.65       26017.81       26071.72
 26214.6        26210.81       26252.12       26392.79
 26616.71       26439.48       26076.89       26149.39
 26186.71       25520.96       24345.75       24912.77
 24893.35       23860.46      ]","['Buy Pershing Square At A 25% Discount To Net Asset Value', 'Infinity Pharmaceuticals (INFI) Presents At 36th Annual J.P. Morgan Healthcare Conference - Slideshow', 'China reports latest trade figures', 'Restaurant sales end 2017 with a little bounce', 'Steven Romick Exits Legg Mason, Trims Qualcomm, American Express Positions', 'Is Hawaiian Holdings a Great Stock for Value Investors?', '5 HMO Stocks to Continue Rewarding Investors', 'SeaWorld Entertainment, Inc. (SEAS) Jumps: Stock Rises 5.2%', 'Daily Insider Ratings Round Up 1/10/18: SHLD, RE, SWZ, DEX, NXRT', 'Bonds: A Cash Look-Alike With A Potential Venomous Bite', 'Genworth: Additional Thoughts On Plan-B And Valuation', 'Separating Winners From Losers In A Volatile Healthcare Environment', 'Huge Holiday For Brick & Mortar Retailers', 'Buy Pershing Square At A 25% Discount To Net Asset Value', 'Leicht Financial Planning & Wealth Management, Inc. ...', 'Retail sales stay in uptrend', 'IBM Names Veteran James Kavanaugh as the New CFO in 2018', 'JPMorgan (JPM) Q4 Earnings Beat Thanks to Investment Banking', 'First Command Bank Buys iShares Core S&P 5……, DowDuPont Inc, Andeavor, Sells DXC ...', 'Mylan Hits 80-Plus Relative Strength Rating Benchmark', 'Your Daily Pharma Scoop: AbbVie Highlights Pipeline, Novavax Surges, Lipocine Flops At Ad Com', 'A Powerful Screen For Dividend Growth Investors', 'Another rough session for REITs', 'Midday Gainers / Losers (1/12/2018)', 'Your Daily Pharma Scoop: AbbVie Highlights Pipeline, Novavax Surges, Lipocine Flops At Ad Com']",1
2018-01-16,"[25564.11678571 25564.11678571 24824.01       24922.68
 25075.13       25295.87       25283.         25385.8
 25369.13       25574.73       25803.19       25792.86
 26115.65       26017.81       26071.72       26214.6
 26210.81       26252.12       26392.79       26616.71
 26439.48       26076.89       26149.39       26186.71
 25520.96       24345.75       24912.77       24893.35
 23860.46       24190.9       ]","['4 Dividend Increases: January 1-12, 2018', '4 Best Technology Stocks for Growth Investors Right Now', 'Permian Shale Oil Pure Play Stocks - Weekly Report 01/12/18', ""It's Time For The Next Generation Dividend Growth Model Portfolio"", 'Wall Street Breakfast: More Records In Store For Equities', 'Are Millennials Investing for Retirement?', 'Amazon Touches New High On Upgrade & Grocery Sales', 'Sysco (SYY) Set to Bring Kent Frozen Foods Under Its Wings', 'Mondelez Raised to Buy on Innovation, Cost-Saving Initiatives', 'Biotech Daily Digest For January 16th', 'Will Stable Interest Income Support BB&T (BBT) Q4 Earnings?', 'Zacks.com highlights: Robert Half International, PetMed Express, Five Below, Patrick Industries and American Eagle Outfitters', 'Worried About A Pullback? Try NOBL', 'Permian Shale Oil Pure Play Stocks - Weekly Report 01/12/18', 'Dividend Challengers (And Near-Challengers): 153 Increases Expected By The End Of March', 'Dividend Challengers (And Near-Challengers): 153 Increases Expected By The End Of March', 'Weekly CEF Roundup: Alpine Sells CEF Management Contract To Aberdeen', 'Why a Q4 Earnings Beat Is Likely for M&T Bank (MTB)', 'Yacktman Focused Fund Buys Bollore SA, Sells Samsung Electronics Co, Microsoft Corp, Sysco Corp', 'Flotek Industries provides Q4 update', 'Banks accused of rigging Canadian rate benchmark', 'Why Should Tyson Foods (TSN) be Part of Your Portfolio Now', ""Norway awards record 75 oil exploration licenses, led by Statoil's 31"", 'Salem Capital Management Inc Buys AT&T Inc, Cooper Tire & Rubber Co, Becton, Dickinson ...', 'Yacktman Fund Buys Bollore SA, Sells Microsoft Corp, Sysco Corp, Wal-Mart Stores Inc']",0
