date,prices,headlines,y
2018-01-02,"[25771.47842105 25771.47842105 25771.47842105 25771.47842105
 25771.47842105 25771.47842105 25771.47842105 25771.47842105
 25771.47842105 25771.47842105 25771.47842105 24824.01
 24922.68       25075.13       25295.87       25283.
 25385.8        25369.13       25574.73       25803.19
 25792.86       26115.65       26017.81       26071.72
 26214.6        26210.81       26252.12       26392.79
 26616.71       26439.48      ]","['Rent-A-Center announces new CEO', ""CEFL/YYY's 2017-End Rebalancing Is Upon Us"", ""CEFL/YYY's 2017-End Rebalancing Is Upon Us"", 'Top 5 Silver Stocks For 2018', 'Tractor Supply (TSCO) Up 19% in 3 Months: More Room to Run?']",0
2018-01-03,"[25786.749 25786.749 25786.749 25786.749 25786.749 25786.749 25786.749
 25786.749 25786.749 25786.749 24824.01  24922.68  25075.13  25295.87
 25283.    25385.8   25369.13  25574.73  25803.19  25792.86  26115.65
 26017.81  26071.72  26214.6   26210.81  26252.12  26392.79  26616.71
 26439.48  26076.89 ]","['Investors prepare for Mifid II', ""Here's Why It's Worth Investing in Pioneer Natural (PXD) Now"", 'Dividend Sensei Positions For 2018: Something Is Always On Sale', 'Ardelyx completes T3MPO-3 safety extension study of Tenapanor for IBS-C', 'Wall Street Breakfast: The Dawn Of MiFID II']",1
2018-01-04,"[25804.01761905 25804.01761905 25804.01761905 25804.01761905
 25804.01761905 25804.01761905 25804.01761905 25804.01761905
 25804.01761905 24824.01       24922.68       25075.13
 25295.87       25283.         25385.8        25369.13
 25574.73       25803.19       25792.86       26115.65
 26017.81       26071.72       26214.6        26210.81
 26252.12       26392.79       26616.71       26439.48
 26076.89       26149.39      ]","['Gap: The Rally Should Continue After A Decent Correction', 'WCS Vs. WTI: Canadian Heavy Crude Discount Demystified', 'Zumiez (ZUMZ) Up on Robust December Comps & Upbeat View', 'Healthcare Biotech Sector Breakout: How High Will It Go In 2018?', 'Core-Mark to Webcast Presentation from —…–8 ICR Conference']",1
2018-01-05,"[25821.41272727 25821.41272727 25821.41272727 25821.41272727
 25821.41272727 25821.41272727 25821.41272727 25821.41272727
 24824.01       24922.68       25075.13       25295.87
 25283.         25385.8        25369.13       25574.73
 25803.19       25792.86       26115.65       26017.81
 26071.72       26214.6        26210.81       26252.12
 26392.79       26616.71       26439.48       26076.89
 26149.39       26186.71      ]","[""China's King Of Automotive Websites Still Has Room To Grow"", 'Q4 2017 Credit Commentary - Taxes, Pensions, Ratings', 'The Rose Portfolio Update With Double Digit Total Return For The 91 Holdings', 'Q4 2017 Credit Commentary - Taxes, Pensions, Ratings', ""Keep Your Eyes On The Market - Cramer's Mad Money (1/4/18)""]",1
2018-01-08,"[25808.34956522 25808.34956522 25808.34956522 25808.34956522
 25808.34956522 25808.34956522 25808.34956522 24824.01
 24922.68       25075.13       25295.87       25283.
 25385.8        25369.13       25574.73       25803.19
 25792.86       26115.65       26017.81       26071.72
 26214.6        26210.81       26252.12       26392.79
 26616.71       26439.48       26076.89       26149.39
 26186.71       25520.96      ]","['Zayo Group Holdings Inc (ZAYO) CEO Daniel Caruso Sold $–– million of Shares', ""Can Abercrombie's (ANF) Strategic Actions Offset Hurdles?"", 'The A-Team: End Of December 2017 Monthly Review; A Farewell Goodbye', ""Dividend Sensei's Portfolio Update 17: Every Crisis Is An Opportunity"", ""Transports Weekly Snapshot - It's Deja Vu All Over Again As Transports Are Off To Another Slow Start""]",0
2018-01-09,"[25747.40791667 25747.40791667 25747.40791667 25747.40791667
 25747.40791667 25747.40791667 24824.01       24922.68
 25075.13       25295.87       25283.         25385.8
 25369.13       25574.73       25803.19       25792.86
 26115.65       26017.81       26071.72       26214.6
 26210.81       26252.12       26392.79       26616.71
 26439.48       26076.89       26149.39       26186.71
 25520.96       24345.75      ]","['Orthofix announces preliminary sales for Q4 and FY2017', 'First Horizon National outlines impacts of U.S. tax reform', 'Teladoc Provides Strong Preliminary Results & 2018 Outlook', '5 Companies Hit 5—-Week Highs', ""Williams Partners' Transco Pipeline Sets Gas Delivery Record""]",1
2018-01-10,"[25714.0224 25714.0224 25714.0224 25714.0224 25714.0224 24824.01
 24922.68   25075.13   25295.87   25283.     25385.8    25369.13
 25574.73   25803.19   25792.86   26115.65   26017.81   26071.72
 26214.6    26210.81   26252.12   26392.79   26616.71   26439.48
 26076.89   26149.39   26186.71   25520.96   24345.75   24912.77  ]","['Daily Insider Ratings Round Up 1/8/18: VSI, CNBKA, MSF', ""Don't Believe In The Boogeyman: The 'Noneconomic' Bond Buyer Doesn't Exist"", 'Century Aluminum Hurt by High Raw Material Cost, Pricing Woes', 'Lexicon Pharmaceuticals (LXRX) Presents At 36th Annual J.P. Morgan Healthcare Conference - Slideshow', 'Demographic Delusions - A Different Look At Skilled Nursing And Healthcare REITs']",0
2018-01-11,"[25682.45807692 25682.45807692 25682.45807692 25682.45807692
 24824.01       24922.68       25075.13       25295.87
 25283.         25385.8        25369.13       25574.73
 25803.19       25792.86       26115.65       26017.81
 26071.72       26214.6        26210.81       26252.12
 26392.79       26616.71       26439.48       26076.89
 26149.39       26186.71       25520.96       24345.75
 24912.77       24893.35      ]","['Global Precious MMI: Sub-Index Continues Rise As Palladium Outpaces Platinum Again', 'Breakout Portfolio Up 14.38% Into 2018: Method Or Madness?', ""Today's U.S. infrastructure fund performance (1/11/18)"", 'New Deutsche junk-bond ETFs lets investors choose area to bet on', 'Lederer & Associates Investment Counsel Buys Naspers, The Madison Square Garden Co, Celgene ...']",1
2018-01-12,"[25614.97666667 25614.97666667 25614.97666667 24824.01
 24922.68       25075.13       25295.87       25283.
 25385.8        25369.13       25574.73       25803.19
 25792.86       26115.65       26017.81       26071.72
 26214.6        26210.81       26252.12       26392.79
 26616.71       26439.48       26076.89       26149.39
 26186.71       25520.96       24345.75       24912.77
 24893.35       23860.46      ]","['Buy Pershing Square At A 25% Discount To Net Asset Value', 'Infinity Pharmaceuticals (INFI) Presents At 36th Annual J.P. Morgan Healthcare Conference - Slideshow', 'China reports latest trade figures', 'Restaurant sales end 2017 with a little bounce', 'Steven Romick Exits Legg Mason, Trims Qualcomm, American Express Positions']",1
2018-01-16,"[25564.11678571 25564.11678571 24824.01       24922.68
 25075.13       25295.87       25283.         25385.8
 25369.13       25574.73       25803.19       25792.86
 26115.65       26017.81       26071.72       26214.6
 26210.81       26252.12       26392.79       26616.71
 26439.48       26076.89       26149.39       26186.71
 25520.96       24345.75       24912.77       24893.35
 23860.46       24190.9       ]","['4 Dividend Increases: January 1-12, 2018', '4 Best Technology Stocks for Growth Investors Right Now', 'Permian Shale Oil Pure Play Stocks - Weekly Report 01/12/18', ""It's Time For The Next Generation Dividend Growth Model Portfolio"", 'Wall Street Breakfast: More Records In Store For Equities']",0
2018-01-17,"[25530.91517241 24824.01       24922.68       25075.13
 25295.87       25283.         25385.8        25369.13
 25574.73       25803.19       25792.86       26115.65
 26017.81       26071.72       26214.6        26210.81
 26252.12       26392.79       26616.71       26439.48
 26076.89       26149.39       26186.71       25520.96
 24345.75       24912.77       24893.35       23860.46
 24190.9        24601.27      ]","['The Impending Oil Shortage: Updating Our Oil Thesis For 2018', 'New Research Coverage Highlights HTG Molecular Diagnostics, Momenta Pharmaceuticals, Black ...', 'U.S. Bancorp beats by $0.01, beats on revenue', 'Universal Health Services declares $0.10 dividend', ""Dow Reaches 26,000, but Can't Hold On""]",1
2018-01-18,"[24824.01, 24922.68, 25075.13, 25295.87, 25283.0, 25385.8, 25369.13, 25574.73, 25803.19, 25792.86, 26115.65, 26017.81, 26071.72, 26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45]","['Dividend Challenger Net Gains Paced By GEO, Macquarie, Sabra & Manhattan Bridge Per January One-Year Targets', 'The Trend Is Your Friend But You Still Need To Be Careful (The Fortune Teller)', ""Today's fintech funds performance (1/18/18)"", 'Full Plate of Economic Data, Q4 Earnings', 'Platinum Plays Catch-Up But It Has A Long Way To Go']",0
2018-01-19,"[24922.68, 25075.13, 25295.87, 25283.0, 25385.8, 25369.13, 25574.73, 25803.19, 25792.86, 26115.65, 26017.81, 26071.72, 26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49]","['Kansas City Southern (KSU) Q4 Earnings Top, Volumes Rise', 'Intel and Comcast among those expected to hike dividends next week', 'Dow Slips Nearly 100 Points, but Stays Above 26K', 'New Capital Management LP Buys Berkshire Hathaway Inc, Weingarten Realty Investors, Micro Focus ...', ""Tyson Foods Tops FORTUNE's World's Most Admired Companies List for Food Production""]",1
2018-01-22,"[25075.13, 25295.87, 25283.0, 25385.8, 25369.13, 25574.73, 25803.19, 25792.86, 26115.65, 26017.81, 26071.72, 26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37]","[""United Rentals' (URI) Q4 Earnings to Gain From Neff Buyout"", ""Randgold eyes full production this year at Congo's Kibali mine"", 'Dividend Aristocrats In A Rising Rate Environment', 'Premarket Gainers as of 9:05 am (1/22/2018)', 'Diana Containerships announces the sale of two post-panamax container vessels']",1
2018-01-23,"[25295.87, 25283.0, 25385.8, 25369.13, 25574.73, 25803.19, 25792.86, 26115.65, 26017.81, 26071.72, 26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38]","['New Strong Sell Stocks for January 23rd', 'Bet on These 4 REITs with Q4 Earnings Beat Potential', 'Wall Street Breakfast: WEF Kicks Off In Davos', 'Orinda Asset Management LLC Buys Colony NorthStar Inc, CorEnergy Infrastructure Trust Inc, GGP ...', 'Bloomberg: Big oil plans tenfold expansion of cost-cut collaboration']",0
2018-01-24,"[25283.0, 25385.8, 25369.13, 25574.73, 25803.19, 25792.86, 26115.65, 26017.81, 26071.72, 26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75]","['U.S. Steel Has Been A Beast', '4.45% Yield REIT Belongs In Most Dividend Portfolios, Steady Growth Continues', 'Stanley Black & Decker, Inc. 2017 Q4 - Results - Earnings Call Slides', '20 Dividend Increases: January 15-19, 2018 (Part 2: The Remaining Sectors)', 'Big Changes Underfoot In Commodities ETF And ETNs']",1
2018-01-25,"[25385.8, 25369.13, 25574.73, 25803.19, 25792.86, 26115.65, 26017.81, 26071.72, 26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78]","['SandRidge Mississippian Trust II declares $0.058 dividend', ""The Public Market's Sweet Spot"", 'Territorial Bancorp EPS in-line, beats on revenue', 'Sugar Sours, But The Price Level Is Sweet', 'Energy/Materials - Top Gainers / Losers as of 2:00 pm (1/25/2018)']",1
2018-01-26,"[25369.13, 25574.73, 25803.19, 25792.86, 26115.65, 26017.81, 26071.72, 26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48]","['Latin America And The Caribbean In 2018: An Economic Recovery In The Making', 'Western Digital: Unfairly Sold On Strong Quarter', 'Legacy Advisors, LLC Buys iShares Russell –……… Growth, iShares Russell –……… ...', 'Rockwell Collins (COL) Beats on Q1 Earnings, Sales Up Y/Y', 'Q4 GDP Sub-3%, Q4 Earnings Roll On']",1
