date,prices,headlines,y
2018-01-02,"[25771.47842105 25771.47842105 25771.47842105 25771.47842105
 25771.47842105 25771.47842105 25771.47842105 25771.47842105
 25771.47842105 25771.47842105 25771.47842105 24824.01
 24922.68       25075.13       25295.87       25283.
 25385.8        25369.13       25574.73       25803.19
 25792.86       26115.65       26017.81       26071.72
 26214.6        26210.81       26252.12       26392.79
 26616.71       26439.48      ]","[[-0.0008236   0.1389771   0.05491746 ...  0.04413768  0.03386718
  -0.09331158]
 [ 0.02065639  0.08634041  0.15758172 ...  0.03789751 -0.0445483
   0.02795128]
 [ 0.00677636 -0.07031667  0.08916601 ... -0.03752085 -0.02532721
  -0.04877457]
 ...
 [ 0.01244928 -0.01157551  0.08238779 ...  0.08095392  0.03354659
   0.03987952]
 [ 0.01031534 -0.00732056  0.04648495 ...  0.03098997 -0.06755511
  -0.0243098 ]
 [-0.05444906  0.02348619  0.25037117 ...  0.00929025 -0.00903315
   0.02907285]]",0
2018-01-03,"[25786.749 25786.749 25786.749 25786.749 25786.749 25786.749 25786.749
 25786.749 25786.749 25786.749 24824.01  24922.68  25075.13  25295.87
 25283.    25385.8   25369.13  25574.73  25803.19  25792.86  26115.65
 26017.81  26071.72  26214.6   26210.81  26252.12  26392.79  26616.71
 26439.48  26076.89 ]","[[ 0.04960511 -0.10066152  0.01164661 ...  0.02921448 -0.00133428
  -0.04089737]
 [ 0.05506465 -0.02472758 -0.02800455 ... -0.03746342 -0.01572662
  -0.05151578]
 [-0.02630082 -0.08150977  0.0707768  ... -0.05014623 -0.05558865
  -0.03359114]
 ...
 [-0.00211727  0.06908818 -0.00755462 ...  0.01150458  0.02580182
  -0.00957703]
 [-0.02443191  0.03723187  0.04912873 ...  0.04621472  0.08876887
  -0.07239263]
 [-0.06156637 -0.07036938  0.08442139 ...  0.03266954  0.04633881
   0.18109042]]",1
2018-01-04,"[25804.01761905 25804.01761905 25804.01761905 25804.01761905
 25804.01761905 25804.01761905 25804.01761905 25804.01761905
 25804.01761905 24824.01       24922.68       25075.13
 25295.87       25283.         25385.8        25369.13
 25574.73       25803.19       25792.86       26115.65
 26017.81       26071.72       26214.6        26210.81
 26252.12       26392.79       26616.71       26439.48
 26076.89       26149.39      ]","[[-3.46632945e-02  3.93373002e-02  4.87663684e-02 ...  7.51083107e-02
  -1.43192105e-02 -2.78616694e-03]
 [-6.04286585e-03 -7.31286932e-02  1.70802772e-02 ...  2.34636816e-02
   2.42248798e-02 -5.68363260e-02]
 [ 1.18384630e-01 -7.01096300e-02 -8.66561800e-02 ...  5.02082700e-02
   4.83034300e-02  3.68175100e-02]
 ...
 [-2.95666500e-02 -2.96146100e-02  3.04059300e-02 ... -3.68803800e-02
   9.13616700e-02 -3.04059300e-02]
 [ 3.28496227e-02 -8.76483970e-03  5.47853011e-02 ...  3.68648752e-02
   8.80121949e-02  5.54589999e-02]
 [ 3.00821309e-02 -8.23495007e-02  9.17518219e-02 ...  1.11586478e-02
   5.74645596e-05  8.96917614e-02]]",1
2018-01-05,"[25821.41272727 25821.41272727 25821.41272727 25821.41272727
 25821.41272727 25821.41272727 25821.41272727 25821.41272727
 24824.01       24922.68       25075.13       25295.87
 25283.         25385.8        25369.13       25574.73
 25803.19       25792.86       26115.65       26017.81
 26071.72       26214.6        26210.81       26252.12
 26392.79       26616.71       26439.48       26076.89
 26149.39       26186.71      ]","[[-0.02613244 -0.08444847  0.02644035 ... -0.02625293  0.01722974
   0.10142384]
 [ 0.08449954  0.02446919  0.02189129 ...  0.0667747  -0.02136177
  -0.0346136 ]
 [-0.00864005 -0.07376673  0.11015415 ...  0.07016453 -0.0362308
   0.0194858 ]
 ...
 [-0.12060372  0.02812199  0.13740143 ...  0.04042143 -0.04617795
   0.03255734]
 [ 0.01171475 -0.04230471  0.04477929 ...  0.02489055 -0.05501982
   0.07881787]
 [ 0.03336819  0.05774196  0.03384012 ...  0.10054874 -0.09788372
   0.01406072]]",1
2018-01-08,"[25808.34956522 25808.34956522 25808.34956522 25808.34956522
 25808.34956522 25808.34956522 25808.34956522 24824.01
 24922.68       25075.13       25295.87       25283.
 25385.8        25369.13       25574.73       25803.19
 25792.86       26115.65       26017.81       26071.72
 26214.6        26210.81       26252.12       26392.79
 26616.71       26439.48       26076.89       26149.39
 26186.71       25520.96      ]","[[-0.00272879 -0.11530003 -0.00866734 ...  0.02879856  0.00865411
  -0.03318843]
 [ 0.0019449   0.01851786 -0.03033745 ...  0.05058244 -0.06566105
   0.13264373]
 [-0.03119394 -0.0539935   0.12249581 ...  0.10368617 -0.05091038
  -0.00437855]
 ...
 [ 0.14606039  0.00427362 -0.00184097 ...  0.05582752 -0.03700196
  -0.10862565]
 [ 0.0462865  -0.11286805 -0.01894382 ...  0.06846268 -0.00512344
  -0.08059733]
 [ 0.0206267   0.02794444  0.14145688 ...  0.04906676 -0.0597664
   0.02632637]]",0
2018-01-09,"[25747.40791667 25747.40791667 25747.40791667 25747.40791667
 25747.40791667 25747.40791667 24824.01       24922.68
 25075.13       25295.87       25283.         25385.8
 25369.13       25574.73       25803.19       25792.86
 26115.65       26017.81       26071.72       26214.6
 26210.81       26252.12       26392.79       26616.71
 26439.48       26076.89       26149.39       26186.71
 25520.96       24345.75      ]","[[ 0.03543549 -0.00858713 -0.04133234 ... -0.03375067 -0.04611504
  -0.01932104]
 [-0.02920335 -0.11535397  0.06526607 ...  0.09031002  0.04387071
  -0.06520769]
 [-0.05425976 -0.08466966  0.03643876 ...  0.07415235 -0.01312008
  -0.00601558]
 ...
 [-0.02588854 -0.12273085  0.06412913 ...  0.04185032  0.0357871
  -0.05815051]
 [ 0.03548924 -0.00862774 -0.04133165 ... -0.0338588  -0.04622297
  -0.01926637]
 [ 0.08016257  0.01260664 -0.02063748 ...  0.07273519 -0.03289265
  -0.00781864]]",1
2018-01-10,"[25714.0224 25714.0224 25714.0224 25714.0224 25714.0224 24824.01
 24922.68   25075.13   25295.87   25283.     25385.8    25369.13
 25574.73   25803.19   25792.86   26115.65   26017.81   26071.72
 26214.6    26210.81   26252.12   26392.79   26616.71   26439.48
 26076.89   26149.39   26186.71   25520.96   24345.75   24912.77  ]","[[ 0.016888   -0.10885492 -0.00216025 ... -0.07108449  0.03296081
   0.01672496]
 [-0.00162517  0.01718595  0.07071303 ...  0.04236814 -0.0045128
  -0.04087631]
 [ 0.00585751 -0.11246421  0.01977932 ...  0.01757253  0.06326112
   0.06157197]
 ...
 [-0.05105855 -0.07868593 -0.03669569 ...  0.0166581  -0.01314483
   0.0036752 ]
 [-0.01913443  0.02458015  0.10528397 ...  0.08266786 -0.04475611
  -0.04636304]
 [ 0.07945326 -0.10804106 -0.0057546  ...  0.03967176  0.0134777
  -0.03155084]]",0
2018-01-11,"[25682.45807692 25682.45807692 25682.45807692 25682.45807692
 24824.01       24922.68       25075.13       25295.87
 25283.         25385.8        25369.13       25574.73
 25803.19       25792.86       26115.65       26017.81
 26071.72       26214.6        26210.81       26252.12
 26392.79       26616.71       26439.48       26076.89
 26149.39       26186.71       25520.96       24345.75
 24912.77       24893.35      ]","[[-0.01547537 -0.0732843   0.07545525 ... -0.01280568 -0.03455921
   0.01161019]
 [ 0.00432805 -0.01251916  0.0784057  ... -0.00839596 -0.01038602
  -0.07127792]
 [ 0.04374874 -0.01090311  0.0290568  ...  0.05233494  0.00512787
   0.00032028]
 ...
 [-0.03575796  0.02614449  0.03164002 ...  0.01844186  0.05892509
   0.05060033]
 [ 0.0034036  -0.02556173 -0.00599798 ...  0.04426069 -0.0019015
   0.03059072]
 [-0.00649107 -0.0179803  -0.04053408 ...  0.0253632   0.11614021
  -0.01064967]]",1
2018-01-12,"[25614.97666667 25614.97666667 25614.97666667 24824.01
 24922.68       25075.13       25295.87       25283.
 25385.8        25369.13       25574.73       25803.19
 25792.86       26115.65       26017.81       26071.72
 26214.6        26210.81       26252.12       26392.79
 26616.71       26439.48       26076.89       26149.39
 26186.71       25520.96       24345.75       24912.77
 24893.35       23860.46      ]","[[ 0.02662799  0.02937459 -0.1062637  ...  0.02260897 -0.05642155
  -0.0637458 ]
 [-0.00048908  0.02237898  0.00218676 ... -0.02276924  0.02858266
  -0.0255952 ]
 [ 0.04225787 -0.00183152  0.0267625  ...  0.01980914  0.0327749
  -0.01701069]
 ...
 [-0.00263691  0.03466228  0.05333681 ...  0.07283601 -0.05227274
   0.07150591]
 [-0.04771947  0.02036836  0.14535712 ...  0.03754737  0.00279672
   0.01308359]
 [ 0.02332858  0.10163389 -0.04800627 ...  0.03198544  0.01058218
  -0.03634199]]",1
2018-01-16,"[25564.11678571 25564.11678571 24824.01       24922.68
 25075.13       25295.87       25283.         25385.8
 25369.13       25574.73       25803.19       25792.86
 26115.65       26017.81       26071.72       26214.6
 26210.81       26252.12       26392.79       26616.71
 26439.48       26076.89       26149.39       26186.71
 25520.96       24345.75       24912.77       24893.35
 23860.46       24190.9       ]","[[ 0.06085983 -0.08752633  0.011801   ... -0.00954295  0.08655859
   0.01466388]
 [-0.07089607 -0.11887733  0.02501265 ...  0.02853594  0.01114139
  -0.10085746]
 [ 0.00672563 -0.07348494  0.04867119 ... -0.02884032  0.08621898
  -0.09371848]
 ...
 [ 0.10401908 -0.01826422  0.14031559 ...  0.02912128 -0.02855596
  -0.05818459]
 [ 0.10401908 -0.01826422  0.14031559 ...  0.02912128 -0.02855596
  -0.05818459]
 [ 0.03683992  0.04324431 -0.0536441  ...  0.02191593 -0.00112095
  -0.07033076]]",0
