date,prices,headlines,y
2018-01-02,"[25771.47842105 25771.47842105 25771.47842105 25771.47842105
 25771.47842105 25771.47842105 25771.47842105 25771.47842105
 25771.47842105 25771.47842105 25771.47842105 24824.01
 24922.68       25075.13       25295.87       25283.
 25385.8        25369.13       25574.73       25803.19
 25792.86       26115.65       26017.81       26071.72
 26214.6        26210.81       26252.12       26392.79
 26616.71       26439.48      ]","[-0.0008236   0.1389771   0.05491746 ...  0.00929025 -0.00903315
  0.02907285]",0
2018-01-03,"[25786.749 25786.749 25786.749 25786.749 25786.749 25786.749 25786.749
 25786.749 25786.749 25786.749 24824.01  24922.68  25075.13  25295.87
 25283.    25385.8   25369.13  25574.73  25803.19  25792.86  26115.65
 26017.81  26071.72  26214.6   26210.81  26252.12  26392.79  26616.71
 26439.48  26076.89 ]","[ 0.04960511 -0.10066152  0.01164661 ...  0.03266954  0.04633881
  0.18109042]",1
2018-01-04,"[25804.01761905 25804.01761905 25804.01761905 25804.01761905
 25804.01761905 25804.01761905 25804.01761905 25804.01761905
 25804.01761905 24824.01       24922.68       25075.13
 25295.87       25283.         25385.8        25369.13
 25574.73       25803.19       25792.86       26115.65
 26017.81       26071.72       26214.6        26210.81
 26252.12       26392.79       26616.71       26439.48
 26076.89       26149.39      ]","[-3.46632945e-02  3.93373002e-02  4.87663684e-02 ...  1.11586478e-02
  5.74645596e-05  8.96917614e-02]",1
2018-01-05,"[25821.41272727 25821.41272727 25821.41272727 25821.41272727
 25821.41272727 25821.41272727 25821.41272727 25821.41272727
 24824.01       24922.68       25075.13       25295.87
 25283.         25385.8        25369.13       25574.73
 25803.19       25792.86       26115.65       26017.81
 26071.72       26214.6        26210.81       26252.12
 26392.79       26616.71       26439.48       26076.89
 26149.39       26186.71      ]","[-0.02613244 -0.08444847  0.02644035 ...  0.10054874 -0.09788372
  0.01406072]",1
2018-01-08,"[25808.34956522 25808.34956522 25808.34956522 25808.34956522
 25808.34956522 25808.34956522 25808.34956522 24824.01
 24922.68       25075.13       25295.87       25283.
 25385.8        25369.13       25574.73       25803.19
 25792.86       26115.65       26017.81       26071.72
 26214.6        26210.81       26252.12       26392.79
 26616.71       26439.48       26076.89       26149.39
 26186.71       25520.96      ]","[-0.00272879 -0.11530003 -0.00866734 ...  0.04906676 -0.0597664
  0.02632637]",0
2018-01-09,"[25747.40791667 25747.40791667 25747.40791667 25747.40791667
 25747.40791667 25747.40791667 24824.01       24922.68
 25075.13       25295.87       25283.         25385.8
 25369.13       25574.73       25803.19       25792.86
 26115.65       26017.81       26071.72       26214.6
 26210.81       26252.12       26392.79       26616.71
 26439.48       26076.89       26149.39       26186.71
 25520.96       24345.75      ]","[ 0.03543549 -0.00858713 -0.04133234 ...  0.07273519 -0.03289265
 -0.00781864]",1
2018-01-10,"[25714.0224 25714.0224 25714.0224 25714.0224 25714.0224 24824.01
 24922.68   25075.13   25295.87   25283.     25385.8    25369.13
 25574.73   25803.19   25792.86   26115.65   26017.81   26071.72
 26214.6    26210.81   26252.12   26392.79   26616.71   26439.48
 26076.89   26149.39   26186.71   25520.96   24345.75   24912.77  ]","[ 0.016888   -0.10885492 -0.00216025 ...  0.03967176  0.0134777
 -0.03155084]",0
2018-01-11,"[25682.45807692 25682.45807692 25682.45807692 25682.45807692
 24824.01       24922.68       25075.13       25295.87
 25283.         25385.8        25369.13       25574.73
 25803.19       25792.86       26115.65       26017.81
 26071.72       26214.6        26210.81       26252.12
 26392.79       26616.71       26439.48       26076.89
 26149.39       26186.71       25520.96       24345.75
 24912.77       24893.35      ]","[-0.01547537 -0.0732843   0.07545525 ...  0.0253632   0.11614021
 -0.01064967]",1
2018-01-12,"[25614.97666667 25614.97666667 25614.97666667 24824.01
 24922.68       25075.13       25295.87       25283.
 25385.8        25369.13       25574.73       25803.19
 25792.86       26115.65       26017.81       26071.72
 26214.6        26210.81       26252.12       26392.79
 26616.71       26439.48       26076.89       26149.39
 26186.71       25520.96       24345.75       24912.77
 24893.35       23860.46      ]","[ 0.02662799  0.02937459 -0.1062637  ...  0.03198544  0.01058218
 -0.03634199]",1
2018-01-16,"[25564.11678571 25564.11678571 24824.01       24922.68
 25075.13       25295.87       25283.         25385.8
 25369.13       25574.73       25803.19       25792.86
 26115.65       26017.81       26071.72       26214.6
 26210.81       26252.12       26392.79       26616.71
 26439.48       26076.89       26149.39       26186.71
 25520.96       24345.75       24912.77       24893.35
 23860.46       24190.9       ]","[ 0.06085983 -0.08752633  0.011801   ...  0.02191593 -0.00112095
 -0.07033076]",0
2018-01-17,"[25530.91517241 24824.01       24922.68       25075.13
 25295.87       25283.         25385.8        25369.13
 25574.73       25803.19       25792.86       26115.65
 26017.81       26071.72       26214.6        26210.81
 26252.12       26392.79       26616.71       26439.48
 26076.89       26149.39       26186.71       25520.96
 24345.75       24912.77       24893.35       23860.46
 24190.9        24601.27      ]","[ 0.04791004 -0.08095776  0.09843668 ... -0.03082198  0.07820143
 -0.06661603]",1
